route,character,straight_line_m,profile,algorithm,heuristic,label,found,path_cost,ucs_optimal,optimality_ratio,nodes_expanded,max_frontier,runtime_ms,h_source,h_over_optimal,path_length
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Weighted A*,h_old,Weighted A* (h_old),True,20.41584569614864,20.41584569614864,1.0,6601,344,37.86,0.1879,0.0092,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Greedy,h_B,Greedy (h_B),True,28.451992345622486,20.41584569614864,1.3936230107278793,105,77,29.13,0.6134,0.03,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,A*,h_B,A* (h_B),True,20.41584569614864,20.41584569614864,1.0,6488,345,65.17,0.6134,0.03,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Weighted A*,h_B,Weighted A* (h_B),True,20.41584569614864,20.41584569614864,1.0,6369,353,65.95,0.6134,0.03,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Greedy,h_ALT,Greedy (h_ALT),True,71.96692151557625,20.41584569614864,3.525052186750828,842,150,11.54,17.6979,0.8669,154
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,A*,h_ALT,A* (h_ALT),True,20.41584569614864,20.41584569614864,1.0,418,161,7.18,17.6979,0.8669,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Weighted A*,h_ALT,Weighted A* (h_ALT),True,20.43807136579882,20.41584569614864,1.001088648003172,561,160,9.37,17.6979,0.8669,64
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,BFS,none,BFS,True,13.687021144934844,13.687021144934844,1.0,2540,184,1.58,0.0,0.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,DFS,none,DFS,True,296.7583560966601,13.687021144934844,21.681734319997123,1956,788,4.61,0.0,0.0,1123
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,UCS,none,UCS,True,13.687021144934844,13.687021144934844,1.0,3599,249,15.96,0.0,0.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,IDS,none,IDS,True,46.663569989490625,13.687021144934844,3.409329867716279,136441,118,78.8,0.0,0.0,157
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Greedy,h_old,Greedy (h_old),True,25.257418551811583,13.687021144934844,1.8453554125733629,87,75,0.46,0.6511,0.0476,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,A*,h_old,A* (h_old),True,13.687021144934844,13.687021144934844,1.0,3110,236,17.92,0.6511,0.0476,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Weighted A*,h_old,Weighted A* (h_old),True,13.687021144934844,13.687021144934844,1.0,2892,220,16.74,0.6511,0.0476,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Greedy,h_B,Greedy (h_B),True,25.257418551811583,13.687021144934844,1.8453554125733629,87,75,29.09,0.9073,0.0663,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,A*,h_B,A* (h_B),True,13.687021144934844,13.687021144934844,1.0,2931,219,45.11,0.9073,0.0663,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Weighted A*,h_B,Weighted A* (h_B),True,13.687021144934844,13.687021144934844,1.0,2695,179,43.89,0.9073,0.0663,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Greedy,h_ALT,Greedy (h_ALT),True,16.000240003852095,13.687021144934844,1.1690082037882512,65,49,1.12,12.3409,0.9016,50
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,A*,h_ALT,A* (h_ALT),True,13.687021144934844,13.687021144934844,1.0,146,71,2.73,12.3409,0.9016,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,fastest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,13.687021144934844,13.687021144934844,1.0,105,59,1.72,12.3409,0.9016,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,BFS,none,BFS,True,16.016936820548537,15.46603899599369,1.0356198393588398,2540,184,1.55,0.0,0.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,DFS,none,DFS,True,619.7834834245706,15.46603899599369,40.07383426261364,1956,788,4.43,0.0,0.0,1123
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,UCS,none,UCS,True,15.46603899599369,15.46603899599369,1.0,1746,282,8.32,0.0,0.0,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,IDS,none,IDS,True,77.01759059003314,15.46603899599369,4.979787689012275,136441,118,78.78,0.0,0.0,157
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Greedy,h_old,Greedy (h_old),True,35.091801200107405,15.46603899599369,2.2689585361318145,87,75,0.44,0.093,0.006,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,A*,h_old,A* (h_old),True,15.46603899599369,15.46603899599369,1.0,1712,279,10.42,0.093,0.006,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Weighted A*,h_old,Weighted A* (h_old),True,15.46603899599369,15.46603899599369,1.0,1687,277,10.43,0.093,0.006,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Greedy,h_B,Greedy (h_B),True,35.091801200107405,15.46603899599369,2.2689585361318145,87,75,29.33,0.24,0.0155,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,A*,h_B,A* (h_B),True,15.46603899599369,15.46603899599369,1.0,1658,277,38.73,0.24,0.0155,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Weighted A*,h_B,Weighted A* (h_B),True,15.46603899599369,15.46603899599369,1.0,1625,270,38.63,0.24,0.0155,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Greedy,h_ALT,Greedy (h_ALT),True,15.46603899599369,15.46603899599369,1.0,49,43,0.92,15.466,1.0,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,A*,h_ALT,A* (h_ALT),True,15.46603899599369,15.46603899599369,1.0,49,39,0.87,15.466,1.0,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,safest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,15.46603899599369,15.46603899599369,1.0,49,39,0.96,15.466,1.0,49
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,BFS,none,BFS,True,16.723527438964478,16.723527438964478,1.0,2540,184,1.49,0.0,0.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,DFS,none,DFS,True,530.7520413587562,16.723527438964478,31.736847581697774,1956,788,4.34,0.0,0.0,1123
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,UCS,none,UCS,True,16.723527438964478,16.723527438964478,1.0,2291,241,10.57,0.0,0.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,IDS,none,IDS,True,71.07766983148396,16.723527438964478,4.25016014658957,136441,118,77.29,0.0,0.0,157
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Greedy,h_old,Greedy (h_old),True,34.41278055373206,16.723527438964478,2.057746529811231,87,75,0.46,0.186,0.0111,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,A*,h_old,A* (h_old),True,16.723527438964478,16.723527438964478,1.0,2218,242,13.3,0.186,0.0111,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Weighted A*,h_old,Weighted A* (h_old),True,16.723527438964478,16.723527438964478,1.0,2191,237,12.94,0.186,0.0111,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Greedy,h_B,Greedy (h_B),True,34.41278055373206,16.723527438964478,2.057746529811231,87,75,30.28,0.6074,0.0363,83
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,A*,h_B,A* (h_B),True,16.723527438964478,16.723527438964478,1.0,2070,226,41.27,0.6074,0.0363,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Weighted A*,h_B,Weighted A* (h_B),True,16.723527438964478,16.723527438964478,1.0,1984,209,41.51,0.6074,0.0363,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Greedy,h_ALT,Greedy (h_ALT),True,16.723527438964478,16.723527438964478,1.0,43,32,0.85,16.7235,1.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,A*,h_ALT,A* (h_ALT),True,16.723527438964478,16.723527438964478,1.0,43,31,0.75,16.7235,1.0,43
Mohammadpur → Ramna,"West-east, through core",5503.543502138818,balanced,Weighted A*,h_ALT,Weighted A* (h_ALT),True,16.723527438964478,16.723527438964478,1.0,43,31,0.9,16.7235,1.0,43
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,BFS,none,BFS,True,9.598393125265563,9.547626298686378,1.0053172196932518,2336,189,1.38,0.0,0.0,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,DFS,none,DFS,True,316.051370645356,9.547626298686378,33.102612184228484,3830,879,5.54,0.0,0.0,1109
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,UCS,none,UCS,True,9.547626298686378,9.547626298686378,1.0,1970,126,9.2,0.0,0.0,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,IDS,none,IDS,True,19.06903629994492,9.547626298686378,1.9972541554719792,29464,54,16.46,0.0,0.0,68
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Greedy,h_old,Greedy (h_old),True,21.068396459433263,9.547626298686378,2.206663289945898,101,76,0.48,0.4821,0.0505,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,A*,h_old,A* (h_old),True,9.547626298686378,9.547626298686378,1.0,1821,124,10.19,0.4821,0.0505,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Weighted A*,h_old,Weighted A* (h_old),True,9.547626298686378,9.547626298686378,1.0,1736,129,9.9,0.4821,0.0505,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Greedy,h_B,Greedy (h_B),True,21.068396459433263,9.547626298686378,2.206663289945898,101,76,29.17,0.6718,0.0704,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,A*,h_B,A* (h_B),True,9.547626298686378,9.547626298686378,1.0,1753,128,38.56,0.6718,0.0704,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Weighted A*,h_B,Weighted A* (h_B),True,9.547626298686378,9.547626298686378,1.0,1635,131,37.93,0.6718,0.0704,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Greedy,h_ALT,Greedy (h_ALT),True,12.138963799924394,9.547626298686378,1.271411701733084,40,30,0.71,8.3157,0.871,38
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,A*,h_ALT,A* (h_ALT),True,9.547626298686378,9.547626298686378,1.0,76,46,1.38,8.3157,0.871,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,fastest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,9.547626298686378,9.547626298686378,1.0,66,47,1.27,8.3157,0.871,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,BFS,none,BFS,True,17.103484847414418,11.67248302107292,1.4652824781613851,2336,189,1.37,0.0,0.0,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,DFS,none,DFS,True,554.8889231561677,11.67248302107292,47.53820777930445,3830,879,5.52,0.0,0.0,1109
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,UCS,none,UCS,True,11.67248302107292,11.67248302107292,1.0,2299,317,10.75,0.0,0.0,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,IDS,none,IDS,True,32.99073612665599,11.67248302107292,2.8263683114463443,29464,54,16.29,0.0,0.0,68
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Greedy,h_old,Greedy (h_old),True,43.099399253295694,11.67248302107292,3.6923933986869963,101,76,0.48,0.0689,0.0059,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,A*,h_old,A* (h_old),True,11.67248302107292,11.67248302107292,1.0,2270,321,14.41,0.0689,0.0059,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Weighted A*,h_old,Weighted A* (h_old),True,11.67248302107292,11.67248302107292,1.0,2256,321,14.27,0.0689,0.0059,40
